,state,county,candidate,party,total_votes,won,votes,DEM_fraction
28282,Alaska,ED 17,Joe Biden,DEM,4136,True,7271,0.5688350983358548
28290,Alaska,ED 18,Joe Biden,DEM,4681,True,7759,0.6032993942518365
28298,Alaska,ED 19,Joe Biden,DEM,3118,True,5338,0.5841139003372049
28395,Alaska,ED 2,Joe Biden,DEM,2104,False,6161,0.3415030027592923
28314,Alaska,ED 20,Joe Biden,DEM,4881,True,7544,0.6470042417815483
28322,Alaska,ED 21,Joe Biden,DEM,5414,True,9482,0.5709765872178865
28331,Alaska,ED 22,Joe Biden,DEM,4553,False,9597,0.4744190892987392
28338,Alaska,ED 23,Joe Biden,DEM,3810,True,7796,0.4887121600820934
28347,Alaska,ED 24,Joe Biden,DEM,4736,False,10484,0.45173597863410914
28354,Alaska,ED 25,Joe Biden,DEM,4600,True,9369,0.4909808944391077
28364,Alaska,ED 26,Joe Biden,DEM,4558,False,20292,0.22462054011433077
28371,Alaska,ED 27,Joe Biden,DEM,4844,False,19037,0.2544518569102274
28379,Alaska,ED 28,Joe Biden,DEM,6264,False,25580,0.24487881157154026
28387,Alaska,ED 29,Joe Biden,DEM,2985,False,10784,0.27679896142433236
28483,Alaska,ED 3,Joe Biden,DEM,1903,False,8385,0.22695289206917113
28403,Alaska,ED 30,Joe Biden,DEM,2638,False,10226,0.2579698806962644
28411,Alaska,ED 31,Joe Biden,DEM,5037,False,12481,0.4035734316160564
28419,Alaska,ED 32,Joe Biden,DEM,3506,False,8361,0.41932783159909104
28426,Alaska,ED 33,Joe Biden,DEM,7535,True,11016,0.6840050835148874
28434,Alaska,ED 34,Joe Biden,DEM,5763,True,10794,0.5339077265147304
28442,Alaska,ED 35,Joe Biden,DEM,5011,True,10149,0.4937432259335895
28451,Alaska,ED 36,Joe Biden,DEM,3796,False,9292,0.40852346104175635
28458,Alaska,ED 37,Joe Biden,DEM,2560,True,5168,0.4953560371517028
28466,Alaska,ED 38,Joe Biden,DEM,3202,True,5299,0.6042649556520098
28474,Alaska,ED 39,Joe Biden,DEM,3580,True,5930,0.6037099494097807
28497,Alaska,ED 4,Joe Biden,DEM,5345,True,10587,0.5048644564088033
28489,Alaska,ED 40,Joe Biden,DEM,2318,True,4628,0.5008643042350908
28505,Alaska,ED 5,Joe Biden,DEM,4204,True,8706,0.4828853664139674
28514,Alaska,ED 6,Joe Biden,DEM,3272,False,9518,0.34376969951670516
28522,Alaska,ED 7,Joe Biden,DEM,2215,False,9664,0.22920115894039736
28530,Alaska,ED 8,Joe Biden,DEM,1953,False,9957,0.19614341669177462
28538,Alaska,ED 9,Joe Biden,DEM,2769,False,11047,0.25065628677469
32141,Arizona,Apache County,Joe Biden,DEM,23293,True,35183,0.662052695904272
32146,Arizona,Cochise County,Joe Biden,DEM,23732,False,60473,0.3924396011443123
32149,Arizona,Coconino County,Joe Biden,DEM,44698,True,73346,0.6094129195866168
32154,Arizona,Gila County,Joe Biden,DEM,8943,False,27678,0.32310860611315845
32158,Arizona,Graham County,Joe Biden,DEM,4034,False,14996,0.26900506801813817
32162,Arizona,Greenlee County,Joe Biden,DEM,1182,False,3688,0.32049891540130154
32166,Arizona,La Paz County,Joe Biden,DEM,2236,False,7460,0.2997319034852547
32169,Arizona,Maricopa County,Joe Biden,DEM,1040774,True,2069475,0.5029169233742857
32174,Arizona,Mohave County,Joe Biden,DEM,24831,False,104705,0.23715199847189725
32118,Arizona,Navajo County,Joe Biden,DEM,23383,False,51783,0.45155746094278043
32121,Arizona,Pima County,Joe Biden,DEM,304981,True,520735,0.5856740952691868
32126,Arizona,Pinal County,Joe Biden,DEM,75106,False,185037,0.40589719893859066
32129,Arizona,Santa Cruz County,Joe Biden,DEM,13138,True,19561,0.6716425540616533
32134,Arizona,Yavapai County,Joe Biden,DEM,49602,False,143280,0.3461892797319933
32138,Arizona,Yuma County,Joe Biden,DEM,32210,False,69926,0.4606298086548637
28676,Arkansas,Arkansas County,Joe Biden,DEM,1818,False,6292,0.28893833439287986
28819,Arkansas,Ashley County,Joe Biden,DEM,2125,False,7926,0.2681049709815796
28962,Arkansas,Baxter County,Joe Biden,DEM,4635,False,21007,0.22064073880135193
29105,Arkansas,Benton County,Joe Biden,DEM,42249,False,119912,0.3523333778103943
29248,Arkansas,Boone County,Joe Biden,DEM,3064,False,17114,0.17903470842585018
29391,Arkansas,Bradley County,Joe Biden,DEM,1214,False,3654,0.3322386425834702
29482,Arkansas,Calhoun County,Joe Biden,DEM,479,False,2182,0.21952337305224565
29495,Arkansas,Carroll County,Joe Biden,DEM,4023,False,11797,0.3410189031109604
29507,Arkansas,Chicot County,Joe Biden,DEM,2260,True,4103,0.5508164757494516
28546,Arkansas,Clark County,Joe Biden,DEM,3438,False,8395,0.4095294818344253
28559,Arkansas,Clay County,Joe Biden,DEM,962,False,5183,0.1856067914335327
28572,Arkansas,Cleburne County,Joe Biden,DEM,1988,False,12680,0.15678233438485806
28585,Arkansas,Cleveland County,Joe Biden,DEM,651,False,3600,0.18083333333333335
28598,Arkansas,Columbia County,Joe Biden,DEM,2814,False,8616,0.3266016713091922
28611,Arkansas,Conway County,Joe Biden,DEM,2615,False,8685,0.30109383995394357
28624,Arkansas,Craighead County,Joe Biden,DEM,11921,False,38511,0.30954792137311415
28637,Arkansas,Crawford County,Joe Biden,DEM,4959,False,24091,0.20584450624714623
28649,Arkansas,Crittenden County,Joe Biden,DEM,8514,True,16367,0.5201930714242072
28663,Arkansas,Cross County,Joe Biden,DEM,1772,False,6942,0.25525785076346874
28689,Arkansas,Dallas County,Joe Biden,DEM,963,False,2649,0.3635334088335221
28701,Arkansas,Desha County,Joe Biden,DEM,2016,True,4164,0.484149855907781
28715,Arkansas,Drew County,Joe Biden,DEM,2426,False,6908,0.3511870295309786
28728,Arkansas,Faulkner County,Joe Biden,DEM,18347,False,54428,0.3370875284779893
28741,Arkansas,Franklin County,Joe Biden,DEM,1300,False,7129,0.18235376630663488
28754,Arkansas,Fulton County,Joe Biden,DEM,1035,False,5119,0.20218792732955657
28767,Arkansas,Garland County,Joe Biden,DEM,14045,False,44199,0.3177673703024955
28780,Arkansas,Grant County,Joe Biden,DEM,1268,False,8200,0.1546341463414634
28793,Arkansas,Greene County,Joe Biden,DEM,3058,False,16100,0.18993788819875776
28806,Arkansas,Hempstead County,Joe Biden,DEM,2138,False,6848,0.31220794392523366
28832,Arkansas,Hot Spring County,Joe Biden,DEM,3082,False,12557,0.2454407899976109
28845,Arkansas,Howard County,Joe Biden,DEM,1340,False,4834,0.2772031443938767
28858,Arkansas,Independence County,Joe Biden,DEM,2806,False,14512,0.1933572216097023
28871,Arkansas,Izard County,Joe Biden,DEM,1021,False,5810,0.1757314974182444
28884,Arkansas,Jackson County,Joe Biden,DEM,1365,False,5091,0.26812021213906895
28896,Arkansas,Jefferson County,Joe Biden,DEM,14981,True,25158,0.5954765879640671
28910,Arkansas,Johnson County,Joe Biden,DEM,2283,False,9498,0.24036639292482628
28923,Arkansas,Lafayette County,Joe Biden,DEM,839,False,2679,0.3131765584173199
28936,Arkansas,Lawrence County,Joe Biden,DEM,1080,False,5857,0.18439474133515452
28948,Arkansas,Lee County,Joe Biden,DEM,1423,True,2848,0.4996488764044944
28975,Arkansas,Lincoln County,Joe Biden,DEM,1032,False,3875,0.2663225806451613
28988,Arkansas,Little River County,Joe Biden,DEM,1226,False,5177,0.2368166892022407
29001,Arkansas,Logan County,Joe Biden,DEM,1544,False,8225,0.18772036474164133
29014,Arkansas,Lonoke County,Joe Biden,DEM,6686,False,30662,0.21805492140108276
29027,Arkansas,Madison County,Joe Biden,DEM,1563,False,7351,0.21262413277105155
29040,Arkansas,Marion County,Joe Biden,DEM,1531,False,7503,0.20405171264827401
