,state,county,candidate,party,total_votes,won,votes,DEM_fraction
1026,Georgia,Oglethorpe County,Joe Biden,DEM,2439,False,8133,0.299889339727038
1030,Georgia,Paulding County,Joe Biden,DEM,29695,False,85372,0.34783067047743993
1034,Georgia,Peach County,Joe Biden,DEM,5922,False,12553,0.4717597387078786
1038,Georgia,Pickens County,Joe Biden,DEM,2824,False,17167,0.1645016601619386
1042,Georgia,Pierce County,Joe Biden,DEM,1100,False,9047,0.12158726649718139
1046,Georgia,Pike County,Joe Biden,DEM,1505,False,10720,0.14039179104477612
1050,Georgia,Polk County,Joe Biden,DEM,3657,False,17396,0.21022074040009198
1054,Georgia,Pulaski County,Joe Biden,DEM,1230,False,4081,0.3013967164910561
1058,Georgia,Putnam County,Joe Biden,DEM,3448,False,11855,0.2908477435681147
1062,Georgia,Quitman County,Joe Biden,DEM,497,False,1106,0.44936708860759494
1066,Georgia,Rabun County,Joe Biden,DEM,1984,False,9568,0.20735785953177258
1069,Georgia,Randolph County,Joe Biden,DEM,1671,True,3073,0.5437683045883501
1073,Georgia,Richmond County,Joe Biden,DEM,59119,True,87009,0.6794584468273397
1077,Georgia,Rockdale County,Joe Biden,DEM,31237,True,44681,0.6991114791522124
1082,Georgia,Schley County,Joe Biden,DEM,462,False,2275,0.20307692307692307
1086,Georgia,Screven County,Joe Biden,DEM,2661,False,6627,0.40153915799004075
1090,Georgia,Seminole County,Joe Biden,DEM,1256,False,3888,0.3230452674897119
1094,Georgia,Spalding County,Joe Biden,DEM,11828,False,30211,0.3915130250570984
1098,Georgia,Stephens County,Joe Biden,DEM,2386,False,11885,0.20075725704669753
1101,Georgia,Stewart County,Joe Biden,DEM,1182,True,1990,0.5939698492462312
1105,Georgia,Sumter County,Joe Biden,DEM,6314,True,12148,0.5197563384919328
1109,Georgia,Talbot County,Joe Biden,DEM,2114,True,3522,0.6002271436683703
1113,Georgia,Taliaferro County,Joe Biden,DEM,561,True,928,0.6045258620689655
1118,Georgia,Tattnall County,Joe Biden,DEM,2062,False,8185,0.25192425167990223
1122,Georgia,Taylor County,Joe Biden,DEM,1388,False,3842,0.3612701717855284
1126,Georgia,Telfair County,Joe Biden,DEM,1488,False,4334,0.34333179510844486
1129,Georgia,Terrell County,Joe Biden,DEM,2376,True,4416,0.5380434782608695
1134,Georgia,Thomas County,Joe Biden,DEM,8708,False,21872,0.398134601316752
1138,Georgia,Tift County,Joe Biden,DEM,5318,False,16279,0.32667854290804105
1142,Georgia,Toombs County,Joe Biden,DEM,2938,False,10914,0.26919552867876123
1146,Georgia,Towns County,Joe Biden,DEM,1550,False,7979,0.19425993232234615
1150,Georgia,Treutlen County,Joe Biden,DEM,952,False,3077,0.30939226519337015
1154,Georgia,Troup County,Joe Biden,DEM,11577,False,30047,0.38529636902186576
1158,Georgia,Turner County,Joe Biden,DEM,1409,False,3791,0.3716697441308362
1162,Georgia,Twiggs County,Joe Biden,DEM,2044,False,4444,0.45994599459945995
1166,Georgia,Union County,Joe Biden,DEM,2800,False,15558,0.17997171872991388
1170,Georgia,Upson County,Joe Biden,DEM,4203,False,12905,0.3256877179387834
1174,Georgia,Walker County,Joe Biden,DEM,5770,False,29354,0.1965660557334605
1178,Georgia,Walton County,Joe Biden,DEM,12683,False,51093,0.24823361321511753
1182,Georgia,Ware County,Joe Biden,DEM,4169,False,14189,0.29381915568398054
1185,Georgia,Warren County,Joe Biden,DEM,1468,True,2650,0.5539622641509434
1189,Georgia,Washington County,Joe Biden,DEM,4743,True,9477,0.5004748338081672
1194,Georgia,Wayne County,Joe Biden,DEM,2688,False,12779,0.21034509742546365
1198,Georgia,Webster County,Joe Biden,DEM,640,False,1391,0.46010064701653486
1202,Georgia,Wheeler County,Joe Biden,DEM,689,False,2285,0.3015317286652079
1206,Georgia,White County,Joe Biden,DEM,2411,False,14816,0.1627294816414687
1210,Georgia,Whitfield County,Joe Biden,DEM,10680,False,36766,0.29048577490072347
1214,Georgia,Wilcox County,Joe Biden,DEM,861,False,3279,0.262580054894785
1218,Georgia,Wilkes County,Joe Biden,DEM,2160,False,5030,0.4294234592445328
1222,Georgia,Wilkinson County,Joe Biden,DEM,2074,False,4770,0.4348008385744235
1226,Georgia,Worth County,Joe Biden,DEM,2395,False,9285,0.2579429186860528
1229,Hawaii,Hawaii County,Joe Biden,DEM,58731,True,87814,0.6688113512651741
1235,Hawaii,Honolulu County,Joe Biden,DEM,238869,True,382114,0.6251249627074643
1241,Hawaii,Kauai County,Joe Biden,DEM,21225,True,33497,0.6336388333283578
1247,Hawaii,Maui County,Joe Biden,DEM,47305,True,71044,0.6658549631214459
1254,Idaho,Ada County,Joe Biden,DEM,120539,False,259389,0.46470359190250937
1261,Idaho,Adams County,Joe Biden,DEM,591,False,2586,0.228538283062645
1269,Idaho,Bannock County,Joe Biden,DEM,14682,False,39553,0.37119813920562283
1276,Idaho,Bear Lake County,Joe Biden,DEM,350,False,3315,0.10558069381598793
1283,Idaho,Benewah County,Joe Biden,DEM,977,False,4973,0.1964608887995174
1290,Idaho,Bingham County,Joe Biden,DEM,4124,False,20094,0.20523539364984572
1297,Idaho,Blaine County,Joe Biden,DEM,8919,True,13289,0.6711565956806381
1306,Idaho,Boise County,Joe Biden,DEM,1204,False,4820,0.24979253112033195
1314,Idaho,Bonner County,Joe Biden,DEM,8310,False,27352,0.30381690552793217
1322,Idaho,Bonneville County,Joe Biden,DEM,14254,False,53995,0.26398740624131867
1329,Idaho,Boundary County,Joe Biden,DEM,1220,False,6313,0.19325201964200855
1337,Idaho,Butte County,Joe Biden,DEM,188,False,1415,0.13286219081272085
1344,Idaho,Camas County,Joe Biden,DEM,149,False,754,0.1976127320954907
1352,Idaho,Canyon County,Joe Biden,DEM,25881,False,90438,0.2861739534266569
1360,Idaho,Caribou County,Joe Biden,DEM,431,False,3416,0.12617096018735363
1367,Idaho,Cassia County,Joe Biden,DEM,1464,False,9629,0.15204071035413855
1374,Idaho,Clark County,Joe Biden,DEM,41,False,311,0.13183279742765272
1382,Idaho,Clearwater County,Joe Biden,DEM,877,False,4419,0.1984611903145508
1389,Idaho,Custer County,Joe Biden,DEM,603,False,2739,0.22015334063526834
1396,Idaho,Elmore County,Joe Biden,DEM,2601,False,10205,0.254875061244488
1403,Idaho,Franklin County,Joe Biden,DEM,657,False,6664,0.09858943577430973
1411,Idaho,Fremont County,Joe Biden,DEM,998,False,6719,0.14853400803691025
1418,Idaho,Gem County,Joe Biden,DEM,1803,False,9958,0.1810604539064069
1425,Idaho,Gooding County,Joe Biden,DEM,1256,False,6050,0.20760330578512395
1432,Idaho,Idaho County,Joe Biden,DEM,1561,False,9602,0.16257029785461363
1439,Idaho,Jefferson County,Joe Biden,DEM,1661,False,14173,0.11719466591406195
1446,Idaho,Jerome County,Joe Biden,DEM,1893,False,7812,0.2423195084485407
1453,Idaho,Kootenai County,Joe Biden,DEM,24312,False,89878,0.27050001112619326
1460,Idaho,Latah County,Joe Biden,DEM,10236,True,20570,0.4976178901312591
1468,Idaho,Lemhi County,Joe Biden,DEM,1032,False,4738,0.2178134233853947
1476,Idaho,Lewis County,Joe Biden,DEM,349,False,1870,0.18663101604278076
1483,Idaho,Lincoln County,Joe Biden,DEM,414,False,1940,0.2134020618556701
1490,Idaho,Madison County,Joe Biden,DEM,2666,False,17112,0.15579710144927536
1497,Idaho,Minidoka County,Joe Biden,DEM,1550,False,7993,0.1939196797197548
1504,Idaho,Nez Perce County,Joe Biden,DEM,6686,False,20967,0.31888205274955883
1511,Idaho,Oneida County,Joe Biden,DEM,249,False,2451,0.10159118727050184
1518,Idaho,Owyhee County,Joe Biden,DEM,816,False,4742,0.1720792914382117
1525,Idaho,Payette County,Joe Biden,DEM,2161,False,11293,0.1913574780837687
1532,Idaho,Power County,Joe Biden,DEM,865,False,3086,0.280298120544394
1540,Idaho,Shoshone County,Joe Biden,DEM,1693,False,6049,0.27988097206149776
1546,Idaho,Teton County,Joe Biden,DEM,3318,True,6347,0.5227666614148416
1554,Idaho,Twin Falls County,Joe Biden,DEM,9391,False,36680,0.2560250817884406
1562,Idaho,Valley County,Joe Biden,DEM,2976,False,7063,0.4213507008353391
1569,Idaho,Washington County,Joe Biden,DEM,1073,False,5344,0.20078592814371257
1577,Illinois,Adams County,Joe Biden,DEM,8633,False,33527,0.25749396009186626
1584,Illinois,Alexander County,Joe Biden,DEM,1114,False,2618,0.4255156608097785
1591,Illinois,Bond County,Joe Biden,DEM,2288,False,8144,0.28094302554027506
1598,Illinois,Boone County,Joe Biden,DEM,10542,False,24979,0.4220345089875495
1605,Illinois,Brown County,Joe Biden,DEM,486,False,2525,0.19247524752475248
1612,Illinois,Bureau County,Joe Biden,DEM,6669,False,17434,0.38252839279568657
1619,Illinois,Calhoun County,Joe Biden,DEM,677,False,2773,0.2441399206635413
1626,Illinois,Carroll County,Joe Biden,DEM,2748,False,8024,0.3424725822532403
1633,Illinois,Cass County,Joe Biden,DEM,1615,False,5326,0.3032294404806609
1639,Illinois,Champaign County,Joe Biden,DEM,57067,True,95568,0.5971350242759083
1647,Illinois,Christian County,Joe Biden,DEM,4335,False,16204,0.2675265366576154
1654,Illinois,Clark County,Joe Biden,DEM,1993,False,8355,0.23853979652902454
1661,Illinois,Clay County,Joe Biden,DEM,1129,False,6899,0.16364690534860124
1668,Illinois,Clinton County,Joe Biden,DEM,4493,False,19214,0.23383990840012492
1675,Illinois,Coles County,Joe Biden,DEM,8067,False,22606,0.35685216314252854
1681,Illinois,Cook County,Joe Biden,DEM,1725973,True,2321399,0.7435055326550929
2290,Illinois,Cook Suburbs,Joe Biden,DEM,781238,True,1176658,0.6639465333172425
1689,Illinois,Crawford County,Joe Biden,DEM,2202,False,9441,0.23323800444868129
1696,Illinois,Cumberland County,Joe Biden,DEM,1142,False,5850,0.19521367521367522
1710,Illinois,De Witt County,Joe Biden,DEM,2191,False,8024,0.27305583250249255
1702,Illinois,DeKalb County,Joe Biden,DEM,24643,True,47989,0.5135135135135135
1717,Illinois,Douglas County,Joe Biden,DEM,2335,False,8760,0.2665525114155251
1723,Illinois,DuPage County,Joe Biden,DEM,281222,True,485064,0.5797626704929659
1731,Illinois,Edgar County,Joe Biden,DEM,1887,False,8196,0.23023426061493413
1738,Illinois,Edwards County,Joe Biden,DEM,488,False,3368,0.14489311163895488
1745,Illinois,Effingham County,Joe Biden,DEM,3716,False,19083,0.1947282921972436
1752,Illinois,Fayette County,Joe Biden,DEM,1826,False,10076,0.1812227074235808
1759,Illinois,Ford County,Joe Biden,DEM,1754,False,6967,0.25175828907707765
1766,Illinois,Franklin County,Joe Biden,DEM,4760,False,18669,0.254968128983877
1773,Illinois,Fulton County,Joe Biden,DEM,6503,False,16724,0.38884238220521405
1780,Illinois,Gallatin County,Joe Biden,DEM,622,False,2675,0.23252336448598132
1787,Illinois,Greene County,Joe Biden,DEM,1349,False,6227,0.21663722498795568
1794,Illinois,Grundy County,Joe Biden,DEM,9626,False,26753,0.35981011475348557
1801,Illinois,Hamilton County,Joe Biden,DEM,824,False,4323,0.19060837381448067
1808,Illinois,Hancock County,Joe Biden,DEM,2315,False,9383,0.2467227965469466
1815,Illinois,Hardin County,Joe Biden,DEM,449,False,2162,0.20767807585568918
1822,Illinois,Henderson County,Joe Biden,DEM,1187,False,3656,0.324671772428884
1829,Illinois,Henry County,Joe Biden,DEM,9797,False,25700,0.3812062256809339
1836,Illinois,Iroquois County,Joe Biden,DEM,2908,False,14044,0.2070635146681857
1842,Illinois,Jackson County,Joe Biden,DEM,11181,True,22716,0.4922081352350766
1850,Illinois,Jasper County,Joe Biden,DEM,1007,False,5586,0.18027210884353742
1857,Illinois,Jefferson County,Joe Biden,DEM,4608,False,17436,0.264280798348245
1864,Illinois,Jersey County,Joe Biden,DEM,2961,False,11960,0.2475752508361204
1871,Illinois,Jo Daviess County,Joe Biden,DEM,5109,False,12495,0.40888355342136856
1878,Illinois,Johnson County,Joe Biden,DEM,1281,False,6450,0.1986046511627907
1884,Illinois,Kane County,Joe Biden,DEM,130166,True,231876,0.561360382273284
1892,Illinois,Kankakee County,Joe Biden,DEM,20271,False,50039,0.4051040188652851
1898,Illinois,Kendall County,Joe Biden,DEM,33168,True,64205,0.5165952807413753
1906,Illinois,Knox County,Joe Biden,DEM,10703,False,23205,0.46123680241327303
1920,Illinois,LaSalle County,Joe Biden,DEM,22442,False,53683,0.4180466814447777
1912,Illinois,Lake County,Joe Biden,DEM,204032,True,334156,0.6105890661846562
1927,Illinois,Lawrence County,Joe Biden,DEM,1419,False,6422,0.22095920274057926
1934,Illinois,Lee County,Joe Biden,DEM,6407,False,16440,0.3897201946472019
1941,Illinois,Livingston County,Joe Biden,DEM,4615,False,17174,0.2687201583789449
1948,Illinois,Logan County,Joe Biden,DEM,3840,False,13294,0.2888521137355198
1976,Illinois,Macon County,Joe Biden,DEM,19847,False,49387,0.4018668880474619
1983,Illinois,Macoupin County,Joe Biden,DEM,7365,False,24070,0.30598255089322807
1990,Illinois,Madison County,Joe Biden,DEM,57836,False,137558,0.42044810189156573
1997,Illinois,Marion County,Joe Biden,DEM,4524,False,17492,0.2586325177223874
2004,Illinois,Marshall County,Joe Biden,DEM,2005,False,6345,0.31599684791174154
2011,Illinois,Mason County,Joe Biden,DEM,1985,False,6766,0.29337865799586166
2018,Illinois,Massac County,Joe Biden,DEM,1725,False,6818,0.2530067468465826
1955,Illinois,McDonough County,Joe Biden,DEM,4992,False,12285,0.40634920634920635
1962,Illinois,McHenry County,Joe Biden,DEM,78154,False,164578,0.4748751351942544
1968,Illinois,McLean County,Joe Biden,DEM,43933,True,87389,0.5027291764409708
2025,Illinois,Menard County,Joe Biden,DEM,2022,False,6954,0.2907679033649698
2032,Illinois,Mercer County,Joe Biden,DEM,3280,False,8914,0.36796051155485754
2039,Illinois,Monroe County,Joe Biden,DEM,6569,False,21206,0.3097708195793643
2046,Illinois,Montgomery County,Joe Biden,DEM,3905,False,13761,0.2837729816147082
2053,Illinois,Morgan County,Joe Biden,DEM,5076,False,15333,0.3310506750146742
2060,Illinois,Moultrie County,Joe Biden,DEM,1662,False,6744,0.24644128113879005
2067,Illinois,Ogle County,Joe Biden,DEM,9428,False,26340,0.35793470007593015
2073,Illinois,Peoria County,Joe Biden,DEM,43578,True,83973,0.5189525204530028
2081,Illinois,Perry County,Joe Biden,DEM,2612,False,10071,0.2593585542647205
2088,Illinois,Piatt County,Joe Biden,DEM,3329,False,9851,0.33793523500152267
2095,Illinois,Pike County,Joe Biden,DEM,1484,False,7965,0.18631512868801003
2102,Illinois,Pope County,Joe Biden,DEM,433,False,2175,0.19908045977011493
2109,Illinois,Pulaski County,Joe Biden,DEM,891,False,2631,0.338654503990878
2116,Illinois,Putnam County,Joe Biden,DEM,1338,False,3390,0.39469026548672564
2123,Illinois,Randolph County,Joe Biden,DEM,3592,False,14910,0.2409121395036888
2130,Illinois,Richland County,Joe Biden,DEM,1830,False,8063,0.22696266898176856
2136,Illinois,Rock Island County,Joe Biden,DEM,36691,True,66817,0.5491267192480955
2151,Illinois,Saline County,Joe Biden,DEM,2789,False,11089,0.25151050590675444
2158,Illinois,Sangamon County,Joe Biden,DEM,48917,False,104751,0.4669836087483652
2165,Illinois,Schuyler County,Joe Biden,DEM,1068,False,3918,0.2725880551301684
2172,Illinois,Scott County,Joe Biden,DEM,572,False,2741,0.20868296242247356
2179,Illinois,Shelby County,Joe Biden,DEM,2504,False,12097,0.20699346945523683
2143,Illinois,St. Clair County,Joe Biden,DEM,68325,True,128104,0.5333557109848248
2186,Illinois,Stark County,Joe Biden,DEM,815,False,2886,0.2823977823977824
2193,Illinois,Stephenson County,Joe Biden,DEM,9055,False,22048,0.41069484760522496
2200,Illinois,Tazewell County,Joe Biden,DEM,24819,False,69051,0.35942998653169395
2207,Illinois,Union County,Joe Biden,DEM,2579,False,8904,0.2896451033243486
2214,Illinois,Vermilion County,Joe Biden,DEM,10323,False,31642,0.3262436002781114
2221,Illinois,Wabash County,Joe Biden,DEM,1253,False,5607,0.22347066167290885
2228,Illinois,Warren County,Joe Biden,DEM,3090,False,7924,0.3899545683997981
2235,Illinois,Washington County,Joe Biden,DEM,1641,False,7921,0.20717081176619115
2242,Illinois,Wayne County,Joe Biden,DEM,1187,False,8499,0.13966348982233204
2249,Illinois,White County,Joe Biden,DEM,1517,False,7431,0.20414479881577177
2256,Illinois,Whiteside County,Joe Biden,DEM,12253,False,27375,0.44759817351598175
2262,Illinois,Will County,Joe Biden,DEM,183915,True,346266,0.5311379113167334
2270,Illinois,Williamson County,Joe Biden,DEM,10206,False,33729,0.3025882771502268
2276,Illinois,Winnebago County,Joe Biden,DEM,64056,True,127710,0.5015738783180643
2284,Illinois,Woodford County,Joe Biden,DEM,6160,False,21498,0.2865382826309424
2298,Indiana,Adams County,Joe Biden,DEM,3236,False,14209,0.22774297980153424
2302,Indiana,Allen County,Joe Biden,DEM,73189,False,169082,0.432860978696727
2306,Indiana,Bartholomew County,Joe Biden,DEM,12934,False,36235,0.35694770249758523
2310,Indiana,Benton County,Joe Biden,DEM,1009,False,4114,0.2452600875060768
2314,Indiana,Blackford County,Joe Biden,DEM,1376,False,5350,0.25719626168224297
2318,Indiana,Boone County,Joe Biden,DEM,15244,False,38520,0.395742471443406
2322,Indiana,Brown County,Joe Biden,DEM,3036,False,8981,0.33804698808595923
2325,Indiana,Carroll County,Joe Biden,DEM,2224,False,9495,0.2342285413375461
2329,Indiana,Cass County,Joe Biden,DEM,4304,False,15198,0.2831951572575339
2333,Indiana,Clark County,Joe Biden,DEM,23093,False,57869,0.3990564896576751
2337,Indiana,Clay County,Joe Biden,DEM,2552,False,12267,0.20803782505910165
2341,Indiana,Clinton County,Joe Biden,DEM,3361,False,12949,0.25955672252683604
2345,Indiana,Crawford County,Joe Biden,DEM,1355,False,4944,0.2740695792880259
2349,Indiana,Daviess County,Joe Biden,DEM,2169,False,11954,0.18144554124142545
2361,Indiana,DeKalb County,Joe Biden,DEM,4966,False,19628,0.25300590992459754
2353,Indiana,Dearborn County,Joe Biden,DEM,5446,False,25383,0.21455304731513217
2357,Indiana,Decatur County,Joe Biden,DEM,2439,False,12287,0.19850248229836412
2365,Indiana,Delaware County,Joe Biden,DEM,20474,False,48191,0.42485111327841296
2369,Indiana,Dubois County,Joe Biden,DEM,6292,False,21770,0.28902158934313277
2373,Indiana,Elkhart County,Joe Biden,DEM,26108,False,74387,0.35097530482476774
2377,Indiana,Fayette County,Joe Biden,DEM,2237,False,10136,0.22069850039463298
2381,Indiana,Floyd County,Joe Biden,DEM,17511,False,41802,0.4189034017511124
2385,Indiana,Fountain County,Joe Biden,DEM,1629,False,7986,0.20398196844477837
2389,Indiana,Franklin County,Joe Biden,DEM,2137,False,12000,0.17808333333333334
2393,Indiana,Fulton County,Joe Biden,DEM,2280,False,9147,0.24926205313217448
2397,Indiana,Gibson County,Joe Biden,DEM,4023,False,16161,0.24893261555596807
2401,Indiana,Grant County,Joe Biden,DEM,8015,False,27159,0.295113958540447
2405,Indiana,Greene County,Joe Biden,DEM,3389,False,14784,0.22923430735930736
2409,Indiana,Hamilton County,Joe Biden,DEM,88390,False,193999,0.45562090526239823
2413,Indiana,Hancock County,Joe Biden,DEM,12895,False,42911,0.30050569783971476
2417,Indiana,Harrison County,Joe Biden,DEM,5343,False,20236,0.2640343941490413
2421,Indiana,Hendricks County,Joe Biden,DEM,32604,False,88505,0.36838596689452574
2425,Indiana,Henry County,Joe Biden,DEM,5544,False,21030,0.263623395149786
2429,Indiana,Howard County,Joe Biden,DEM,13303,False,40630,0.327418163918287
2433,Indiana,Huntington County,Joe Biden,DEM,4255,False,17829,0.23865612204834818
2437,Indiana,Jackson County,Joe Biden,DEM,4302,False,19238,0.22361991891048966
2441,Indiana,Jasper County,Joe Biden,DEM,3798,False,15475,0.2454281098546042
2445,Indiana,Jay County,Joe Biden,DEM,1926,False,8461,0.22763266753338848
2449,Indiana,Jefferson County,Joe Biden,DEM,4731,False,14697,0.32190242906715655
2453,Indiana,Jennings County,Joe Biden,DEM,2523,False,12251,0.20594237205126112
2457,Indiana,Johnson County,Joe Biden,DEM,24736,False,77618,0.31868896390012624
2461,Indiana,Knox County,Joe Biden,DEM,4067,False,16011,0.2540128661545188
2465,Indiana,Kosciusko County,Joe Biden,DEM,8364,False,35787,0.23371615391063794
2469,Indiana,LaGrange County,Joe Biden,DEM,2355,False,10633,0.22148029718799964
2477,Indiana,LaPorte County,Joe Biden,DEM,22427,False,49392,0.45406138645934563
2472,Indiana,Lake County,Joe Biden,DEM,124870,True,219956,0.5677044499809053
2481,Indiana,Lawrence County,Joe Biden,DEM,4961,False,21025,0.23595719381688465
2485,Indiana,Madison County,Joe Biden,DEM,19524,False,51793,0.3769621377406213
2488,Indiana,Marion County,Joe Biden,DEM,247772,True,389619,0.6359340791901832
2493,Indiana,Marshall County,Joe Biden,DEM,5712,False,19927,0.28664625884478345
2497,Indiana,Martin County,Joe Biden,DEM,1011,False,5144,0.19653965785381025
2501,Indiana,Miami County,Joe Biden,DEM,3235,False,14473,0.22351965729289022
2504,Indiana,Monroe County,Joe Biden,DEM,39861,True,63151,0.6312014061535051
2509,Indiana,Montgomery County,Joe Biden,DEM,4213,False,17198,0.24497034538899873
2513,Indiana,Morgan County,Joe Biden,DEM,7781,False,36159,0.21518847313255343
2517,Indiana,Newton County,Joe Biden,DEM,1509,False,6591,0.22894856622667273
2521,Indiana,Noble County,Joe Biden,DEM,4660,False,19190,0.24283480979676916
2525,Indiana,Ohio County,Joe Biden,DEM,750,False,3164,0.2370417193426043
2529,Indiana,Orange County,Joe Biden,DEM,2224,False,8832,0.25181159420289856
2533,Indiana,Owen County,Joe Biden,DEM,2420,False,9904,0.24434571890145396
2537,Indiana,Parke County,Joe Biden,DEM,1503,False,7011,0.21437740693196405
2541,Indiana,Perry County,Joe Biden,DEM,3203,False,8722,0.3672322861728961
2545,Indiana,Pike County,Joe Biden,DEM,1415,False,6220,0.227491961414791
2549,Indiana,Porter County,Joe Biden,DEM,39746,False,86509,0.45944352610711026
2553,Indiana,Posey County,Joe Biden,DEM,3811,False,13236,0.2879268661226957
2557,Indiana,Pulaski County,Joe Biden,DEM,1463,False,5806,0.2519807096107475
2561,Indiana,Putnam County,Joe Biden,DEM,3946,False,16597,0.2377538109296861
2565,Indiana,Randolph County,Joe Biden,DEM,2513,False,11070,0.22700993676603431
2569,Indiana,Ripley County,Joe Biden,DEM,2774,False,14271,0.1943802116179665
2573,Indiana,Rush County,Joe Biden,DEM,1754,False,7932,0.2211296016137166
2581,Indiana,Scott County,Joe Biden,DEM,2698,False,10161,0.2655250467473674
2585,Indiana,Shelby County,Joe Biden,DEM,5023,False,19991,0.25126306838077134
2589,Indiana,Spencer County,Joe Biden,DEM,3213,False,10769,0.2983563933512861
2576,Indiana,St. Joseph County,Joe Biden,DEM,59896,True,115238,0.5197591072389316
2593,Indiana,Starke County,Joe Biden,DEM,2650,False,10290,0.2575315840621963
2597,Indiana,Steuben County,Joe Biden,DEM,4513,False,16162,0.2792352431629749
2601,Indiana,Sullivan County,Joe Biden,DEM,2153,False,8994,0.2393818100956193
2605,Indiana,Switzerland County,Joe Biden,DEM,964,False,4154,0.23206547905633124
2608,Indiana,Tippecanoe County,Joe Biden,DEM,35017,True,71448,0.4901046915239055
2613,Indiana,Tipton County,Joe Biden,DEM,1834,False,8116,0.2259733859043864
2617,Indiana,Union County,Joe Biden,DEM,736,False,3483,0.21131208728107953
2621,Indiana,Vanderburgh County,Joe Biden,DEM,34415,False,77662,0.44313821431330636
2625,Indiana,Vermillion County,Joe Biden,DEM,2145,False,7481,0.2867263734794814
2629,Indiana,Vigo County,Joe Biden,DEM,18123,False,43594,0.4157223471119879
2633,Indiana,Wabash County,Joe Biden,DEM,3494,False,14573,0.23975845742125848
2637,Indiana,Warren County,Joe Biden,DEM,974,False,4472,0.21779964221824688
2641,Indiana,Warrick County,Joe Biden,DEM,11923,False,33829,0.3524490821484525
2645,Indiana,Washington County,Joe Biden,DEM,2784,False,12139,0.22934343850399538
2649,Indiana,Wayne County,Joe Biden,DEM,9524,False,27679,0.3440875754181871
2653,Indiana,Wells County,Joe Biden,DEM,2928,False,14050,0.20839857651245552
2657,Indiana,White County,Joe Biden,DEM,3032,False,11166,0.27153859931936236
2661,Indiana,Whitley County,Joe Biden,DEM,4234,False,17556,0.24117110959216223
2665,Iowa,Adair County,Joe Biden,DEM,1198,False,4177,0.28680871438831695
2675,Iowa,Adams County,Joe Biden,DEM,590,False,2160,0.27314814814814814
2685,Iowa,Allamakee County,Joe Biden,DEM,2576,False,7422,0.3470762597682565
2695,Iowa,Appanoose County,Joe Biden,DEM,1891,False,6516,0.2902087170042971
2705,Iowa,Audubon County,Joe Biden,DEM,1071,False,3420,0.3131578947368421
2715,Iowa,Benton County,Joe Biden,DEM,5160,False,14642,0.3524108728315804
2724,Iowa,Black Hawk County,Joe Biden,DEM,35647,True,66593,0.5352965026354122
2735,Iowa,Boone County,Joe Biden,DEM,6303,False,15340,0.4108865710560626
2745,Iowa,Bremer County,Joe Biden,DEM,5958,False,14546,0.40959714010724596
2755,Iowa,Buchanan County,Joe Biden,DEM,4169,False,10774,0.386950064971227
2765,Iowa,Buena Vista County,Joe Biden,DEM,2961,False,8167,0.3625566303416187
2775,Iowa,Butler County,Joe Biden,DEM,2424,False,8098,0.2993331686836256
2785,Iowa,Calhoun County,Joe Biden,DEM,1470,False,5258,0.2795739825028528
2795,Iowa,Carroll County,Joe Biden,DEM,3454,False,11335,0.3047198941332157
2805,Iowa,Cass County,Joe Biden,DEM,2201,False,7276,0.3025013743815283
2815,Iowa,Cedar County,Joe Biden,DEM,4337,False,10703,0.4052134915444268
2825,Iowa,Cerro Gordo County,Joe Biden,DEM,10941,False,23801,0.45968656779126926
2835,Iowa,Cherokee County,Joe Biden,DEM,1936,False,6518,0.29702362687941086
2845,Iowa,Chickasaw County,Joe Biden,DEM,2233,False,6631,0.336751621173277
2855,Iowa,Clarke County,Joe Biden,DEM,1466,False,4670,0.3139186295503212
2865,Iowa,Clay County,Joe Biden,DEM,2662,False,8969,0.29680008919611994
2875,Iowa,Clayton County,Joe Biden,DEM,3340,False,9594,0.34813425057327496
2885,Iowa,Clinton County,Joe Biden,DEM,10812,False,24687,0.43796330052254223
2895,Iowa,Crawford County,Joe Biden,DEM,2220,False,7154,0.31031590718479174
2905,Iowa,Dallas County,Joe Biden,DEM,26879,False,56022,0.4797936524936632
2915,Iowa,Davis County,Joe Biden,DEM,1013,False,4102,0.24695270599707458
2925,Iowa,Decatur County,Joe Biden,DEM,1120,False,3804,0.29442691903259727
2935,Iowa,Delaware County,Joe Biden,DEM,3157,False,10003,0.31560531840447864
2945,Iowa,Des Moines County,Joe Biden,DEM,8893,False,19956,0.44563038685107237
2955,Iowa,Dickinson County,Joe Biden,DEM,3661,False,11244,0.32559587335467804
2965,Iowa,Dubuque County,Joe Biden,DEM,25657,False,53926,0.47578162667358975
2975,Iowa,Emmet County,Joe Biden,DEM,1520,False,4853,0.3132083247475788
2985,Iowa,Fayette County,Joe Biden,DEM,3835,False,10186,0.37649715295503633
2995,Iowa,Floyd County,Joe Biden,DEM,3172,False,8032,0.3949203187250996
3005,Iowa,Franklin County,Joe Biden,DEM,1626,False,5130,0.3169590643274854
3015,Iowa,Fremont County,Joe Biden,DEM,1080,False,3857,0.2800103707544724
3025,Iowa,Greene County,Joe Biden,DEM,1769,False,5057,0.3498121415859205
3035,Iowa,Grundy County,Joe Biden,DEM,2206,False,7276,0.30318856514568443
3045,Iowa,Guthrie County,Joe Biden,DEM,1985,False,6371,0.3115680426934547
3055,Iowa,Hamilton County,Joe Biden,DEM,2843,False,7943,0.35792521717235304
